name,rarity,color_identity
Abhorrent Oculus,mythic,U
Abrade,uncommon,R
"Adeline, Resplendent Cathar",rare,W
Ademi of the Silkchutes,rare,W
Aether Spellbomb,common,U
Agatha's Soul Cauldron,mythic,Colorless
"Ajani, Nacatl Pariah",mythic,W
Ancestral Recall,mythic,U
Ancient Tomb,mythic,Colorless
Animate Dead,uncommon,B
Archon of Cruelty,mythic,B
Arena of Glory,rare,R
Arid Mesa,rare,Colorless
"Atraxa, Grand Unifier",mythic,Multicolor
Avacyn's Pilgrim,common,Multicolor
Badlands,rare,Multicolor
Balance,mythic,W
Baleful Strix,rare,Multicolor
Barrowgoyf,rare,B
Batterskull,mythic,Colorless
Bayou,rare,Multicolor
"Beza, the Bounding Spring",mythic,W
Birds of Paradise,rare,G
Bitter Triumph,uncommon,B
Black Lotus,mythic,Colorless
Blackcleave Cliffs,rare,Multicolor
Blade Splicer,rare,W
Blazemire Verge,rare,Multicolor
Bleachbone Verge,rare,Multicolor
Blood Crypt,rare,Multicolor
Bloodbraid Elf,uncommon,Multicolor
Bloodstained Mire,rare,Colorless
Bloodtithe Harvester,uncommon,Multicolor
Blooming Marsh,rare,Multicolor
Bolas's Citadel,rare,B
Bomat Courier,rare,R
Bone Shards,common,B
Bonecrusher Giant,rare,R
Booster Tutor,uncommon,B
"Boseiju, Who Endures",rare,G
Botanical Sanctum,rare,Multicolor
Brain Freeze,uncommon,U
Brainstorm,rare,U
Brazen Borrower,mythic,U
Breeding Pool,rare,Multicolor
"Bristly Bill, Spine Sower",mythic,G
Broadside Bombardiers,rare,R
Burst Lightning,common,R
Candelabra of Tawnos,rare,Colorless
Cankerbloom,uncommon,G
Carnage Interpreter,rare,Multicolor
Cathar Commando,common,W
Caustic Bronco,rare,B
Celestial Colonnade,rare,Multicolor
Chain Lightning,common,R
"Chandra, Torch of Defiance",mythic,R
Channel,mythic,G
Chromatic Star,uncommon,Colorless
Chrome Host Seedshark,rare,U
Chrome Mox,mythic,Colorless
Coalition Relic,rare,Colorless
Collective Brutality,rare,B
"Comet, Stellar Pup",mythic,Multicolor
Commercial District,rare,Multicolor
Concealed Courtyard,rare,Multicolor
Concealing Curtains,rare,B
Consider,common,U
Consult the Star Charts,rare,U
Containment Priest,rare,W
Copperline Gorge,rare,Multicolor
Cori-Steel Cutter,rare,R
Cosmogrand Zenith,mythic,W
Counterspell,rare,U
Courser of Kruphix,rare,G
Coveted Jewel,rare,Colorless
Crabomination,rare,B
Craterhoof Behemoth,mythic,G
Creeping Tar Pit,rare,Multicolor
Crop Rotation,common,G
Crucible of Worlds,mythic,Colorless
Cryptic Command,rare,U
Currency Converter,rare,Colorless
Cut Down,uncommon,B
Dack Fayden,mythic,Multicolor
