name,rarity,color_identity
Along the Crooked Way,rare,B
An Unexpected Party,rare,W
Attercop,common,G
"Azog, Moria's Ruin",rare,B
"Balin, Loremaster",rare,R
Bard the Bowman,uncommon,Multicolor
Bard's Company,rare,Multicolor
"Bard, King of Dale",mythic,Multicolor
Bejeweled Warg,rare,G
Belladonna Took,rare,W
Beorn the Fierce,mythic,G
Beorn's Hospitality,uncommon,G
"Beorn, Reluctant Host",common,G
"Bifur, Melodic Rider",uncommon,Multicolor
"Bilbo Baggins, Burglar",common,U
Bilbo's Deadly Slice,common,B
Bilbo's Gambit,rare,W
"Bilbo, Luckwearer",uncommon,U
"Bilbo, Thief in the Night",mythic,U
"Bofur, Reliable Guardian",uncommon,W
Bolg of the North,uncommon,Multicolor
Bolg's Company,rare,Multicolor
"Bombur, Gentle Dreamer",uncommon,R
Bothersome Noisemaker,uncommon,R
Boughside Wanderers,common,G
"Burn, Burn, Tree and Fern",uncommon,R
Cantankerous Keepers,rare,G
Celebrate the Mountain-king,uncommon,W
Chief Warg's Company,rare,Multicolor
Confusticate and Bebother,common,U
Crude Bent Blade,common,B
Dancing from Dark to Dawn,mythic,G
Desert Were-Worm,rare,R
Desolation Prowler,uncommon,B
Desolation of Smaug,rare,R
"Dori, Bearer of Friends",common,R
Down in the Valley,rare,G
"Down, Down to Goblin-town",uncommon,B
Dreaded Bat-Cloud,uncommon,B
Duskwatch Hunter,common,Multicolor
"Dwalin, Weaponmaster",rare,Multicolor
Dwarven Mattock,uncommon,Colorless
Dwarven Mauler,uncommon,R
Dwarven Provisioner,common,W
Dwarven Shortsword,common,W
Dáin Ironfoot,rare,R
Dáin's Company,rare,Multicolor
"Dáin, Lord of the Iron Hills",uncommon,W
Eagle of the Great Shelf,uncommon,W
Eagle's Rescue,uncommon,Multicolor
"Elrond, Moon-Reader",mythic,U
Elven Passage,rare,Colorless
Elven Raft-Steerer,uncommon,U
Elvenking's Halls,common,Multicolor
Elvenking's Harper,common,U
Enchanted River's Grasp,common,U
Esgaroth Garrison,common,W
Fateful Discovery,mythic,U
Fearsome Goblin Pair,uncommon,Multicolor
Front Porch Sentries,common,B
Fíli the Pathfinder,rare,W
"Galion, Elvenking's Butler",uncommon,G
"Gandalf, Goblins' Bane",mythic,R
"Gandalf, Spark Starter",uncommon,R
"Gandalf, Wandering Wizard",common,U
Gathering of Darkness,uncommon,B
Getaway Barrel,rare,R
Giant's Boulder,common,Colorless
Gigantic Big Bear,rare,G
"Glamdring, Foe-hammer",rare,U
Gleaming Splendor,mythic,W
Glóin the Mighty,uncommon,R
Gnashing of Teeth,uncommon,B
Goblin Plate Mail,common,Multicolor
Goblin-town,common,Multicolor
Goblin-town Flunkies,common,R
Gollum the Abandoned,uncommon,B
"Gollum, Riddle Master",mythic,B
"Gollum, Silent Slinker",common,B
Great Fierce Bee,common,B
Great Gilded Boat,rare,U
Great Ugly-Looking Goblin,uncommon,B
Guardian of the Halls,common,G
Gundabad Opportunist,common,R
Head of the Hunt,rare,B
Hobbit Hole,common,Colorless
Inside Information,mythic,B
Iron Hills,common,Multicolor
Iron Hills Blacksmith,uncommon,W
Iron Hills Stalwart,common,R
Key to the Side-Door,uncommon,Colorless
Kíli the Resourceful,rare,W
Lake-town,common,Multicolor
Lake-town Lookout,common,W
