name,rarity,color_identity
Aberrant Manawurm,uncommon,G
"Abigale, Poet Laureate",uncommon,Multicolor
Abrade,special,R
Abstract Paintmage,uncommon,Multicolor
Ad Nauseam,special,B
Additive Evolution,uncommon,G
"Adrix and Nev, Twincasters",special,Multicolor
Adventurous Eater,common,B
Ajani's Response,common,W
Akroma's Will,special,W
Ambitious Augmenter,rare,G
Ancestral Anger,common,R
Angel's Grace,special,W
Antiquities on the Loose,rare,W
Applied Geometry,rare,Multicolor
Arcane Omens,uncommon,B
Archaeomancer,special,U
Archaic's Agony,uncommon,R
Archmage Emeritus,special,U
Ark of Hunger,rare,Multicolor
Armageddon,special,W
"Arnyn, Deathbloom Botanist",uncommon,B
Artistic Process,uncommon,R
Ascendant Dustspeaker,common,W
Awaken the Woods,special,G
"Aziza, Mage Tower Captain",rare,Multicolor
Banishing Betrayal,common,U
Berserk,special,G
"Berta, Wise Extrapolator",rare,Multicolor
Biblioplex Tomekeeper,common,Colorless
Big Score,special,R
Bitter Triumph,special,B
Blazing Firesinger,uncommon,R
"Blech, Loafing Pest",rare,Multicolor
Bogwater Lumaret,common,Multicolor
Borrowed Knowledge,uncommon,Multicolor
Brain Freeze,special,U
Bring to Light,special,Multicolor
Brotherhood's End,special,R
Brush Off,uncommon,U
Bulk Up,special,R
Burrog Banemaker,common,B
Burrog Barrage,common,G
Burst Lightning,special,R
Campus Composer,uncommon,U
Cauldron of Essence,rare,Multicolor
Charging Strifeknight,uncommon,R
Chase Inspiration,common,U
Cheerful Osteomancer,common,B
Chelonian Tackle,uncommon,G
Choreographed Sparks,rare,R
"Codie, Vociferous Codex",special,Multicolor
Colorstorm Stallion,rare,Multicolor
Colossus of the Blood Age,uncommon,Multicolor
Comforting Counsel,rare,G
Conciliator's Duelist,rare,Multicolor
Cost of Brilliance,common,B
Crackle with Power,special,R
Crop Rotation,special,G
Cuboid Colony,uncommon,Multicolor
Culling Ritual,special,Multicolor
Culling the Weak,special,B
Cyclonic Rift,special,U
Daydream,uncommon,W
Daze,special,U
Deathcap Glade,rare,Multicolor
Decorum Dissertation,mythic,B
Deduce,special,U
Deflecting Palm,special,Multicolor
Deluge Virtuoso,common,U
Diary of Dreams,uncommon,Colorless
Dig Site Inventory,common,W
