name,rarity,color_identity
Aang's Iceberg,rare,W
Aang's Journey,common,Colorless
"Aang, Swift Savior",rare,Multicolor
"Aang, at the Crossroads",rare,Multicolor
"Aang, the Last Airbender",uncommon,W
Abandon Attachments,common,Multicolor
Abandoned Air Temple,rare,W
Accumulate Wisdom,uncommon,U
Agent of Treachery,special,U
Agna Qel'a,rare,U
Air Nomad Legacy,uncommon,Multicolor
Airbender Ascension,rare,W
Airbender's Reversal,uncommon,W
Airbending Lesson,common,W
Airship Engine Room,common,Multicolor
Allies at Last,uncommon,G
"Appa, Loyal Sky Bison",uncommon,W
"Appa, Steadfast Guardian",mythic,W
Avatar Aang,mythic,Multicolor
Avatar Destiny,rare,G
Avatar Enthusiasts,common,W
Avatar's Wrath,rare,W
Azula Always Lies,common,B
"Azula, Cunning Usurper",rare,Multicolor
"Azula, On the Hunt",uncommon,B
Ba Sing Se,rare,G
Badgermole,common,G
Badgermole Cub,mythic,G
Barrels of Blasting Jelly,common,Colorless
Beastmaster Ascension,special,G
Beetle-Headed Merchants,common,B
Beifong's Bounty Hunters,rare,Multicolor
Bender's Waterskin,common,Colorless
Benevolent River Spirit,uncommon,U
Bitter Work,uncommon,Multicolor
Black Sun's Zenith,special,B
Blasphemous Act,special,R
Bloodchief Ascension,special,B
Boar-q-pine,common,R
Boiling Rock Prison,common,Multicolor
Boiling Rock Rioter,rare,B
Boomerang Basics,uncommon,U
Bribery,special,U
Brought Back,special,W
Bumi Bash,common,R
"Bumi, King of Three Trials",uncommon,G
"Bumi, Unleashed",mythic,Multicolor
Buzzard-Wasp Colony,uncommon,B
Callous Inspector,common,B
Canyon Crawler,common,B
Captain Sisay,special,Multicolor
Cat-Gator,uncommon,B
Cat-Owl,common,Multicolor
Cityscape Leveler,special,Colorless
Clone,special,U
Clone Legion,special,U
Combustion Man,uncommon,R
Combustion Technique,uncommon,R
Compassionate Healer,common,W
Corrupt Court Official,common,B
Crashing Wave,uncommon,U
Crescent Island Temple,uncommon,R
Cruel Administrator,uncommon,Multicolor
Cruel Tutor,special,B
Cunning Maneuver,common,R
Curious Farm Animals,common,W
Cycle of Renewal,common,G
Dai Li Agents,uncommon,Multicolor
