name,rarity,color_identity
Action News Crew,common,W
"Agent Bishop, Man in Black",rare,W
All Will Be One,special,R
Anchovy & Banana Pizza,common,B
"April O'Neil, Hacktivist",rare,U
"April O'Neil, Kunoichi Trainee",common,W
"April, Reporter of the Weird",uncommon,U
Arcbound Ravager,special,Colorless
"Armaggon, Future Shark",rare,B
Ashcoat of the Shadow Swarm,special,B
Baxter Stockman,uncommon,Multicolor
Bebop & Rocksteady,rare,Multicolor
"Bebop, Warthog Warrior",common,B
Bespoke B?,uncommon,U
Bot Bashing Time,common,R
Brainstorm,special,U
Brilliance Unleashed,uncommon,Multicolor
Broadcast Takeover,mythic,R
Buzz Bots,common,U
"Casey Jones, Jury-Rig Justiciar",uncommon,R
"Casey Jones, Vigilante",rare,R
Chrome Dome,rare,Colorless
Conqueror's Flail,special,Colorless
Cool but Rude,rare,R
Courier of Comestibles,uncommon,G
Cowabunga!,common,G
Crustacean Commando,common,U
Cytoplast Manipulator,special,U
Dark Leo & Shredder,mythic,Multicolor
Death in the Family,uncommon,B
Dimension X,common,Multicolor
Dimensional Exile,uncommon,W
Does Machines,rare,U
"Don & Leo, Problem Solvers",rare,Multicolor
"Don & Raph, Hard Science",rare,Multicolor
Donatello's Technique,uncommon,U
"Donatello, Gadget Master",rare,U
"Donatello, Mutant Mechanic",mythic,U
"Donatello, Turtle Techie",common,U
"Donatello, Way with Machines",uncommon,U
Doubling Season,special,G
Dream Beavers,uncommon,B
EPF Point Squad,common,Multicolor
East Wind Avatar,common,W
Escape Tunnel,common,Colorless
Everything Pizza,uncommon,Multicolor
Featherbrained Filcher,uncommon,W
Foot Elite,common,Multicolor
Foot Headquarters,common,Multicolor
Foot Mystic,common,B
Foot Ninjas,common,Multicolor
Frog Butler,common,G
Fugitive Droid,uncommon,U
"General Traag, Heart of Stone",uncommon,R
Genghis Frog,uncommon,Multicolor
Go Ninja Go,uncommon,Multicolor
Groundchuck & Dirtbag,rare,G
Grounded for Life,common,W
Guac & Marshmallow Pizza,common,G
Hamato Guardian Stance,common,W
Hard-Won Jitte,uncommon,R
Henchbots,uncommon,Colorless
High-Flying Ace,common,W
Ice Cream Kitty,common,Multicolor
Illegitimate Business,common,Multicolor
Improvised Arsenal,rare,R
Insectoid Exterminator,common,B
Jennika's Technique,uncommon,R
"Jennika, Bad Apple Big Sister",common,W
Karai's Technique,uncommon,Multicolor
"Karai, Future of the Foot",uncommon,Multicolor
Kitsune's Technique,rare,U
"Kitsune, Dragon's Daughter",rare,U
"Koya, Death from Above",uncommon,Multicolor
Krang & Shredder,rare,Multicolor
"Krang, Master Mind",rare,U
"Krang, Utrom Warlord",mythic,Colorless
Leader's Talent,rare,W
"Leatherhead, Swamp Stalker",rare,G
Leonardo's Technique,rare,W
"Leonardo, Big Brother",common,W
"Leonardo, Cutting Edge",rare,W
"Leonardo, Leader in Blue",uncommon,W
"Leonardo, Sewer Samurai",mythic,W
Lessons from Life,uncommon,Multicolor
"Lita, Little Orphan Amphibian",uncommon,W
"Lord Dregg, Insect Invader",uncommon,Multicolor
"Madame Null, Power Broker",rare,B
Make Your Move,common,W
Manhole Missile,common,R
Mechanized Ninja Cavalry,common,Multicolor
Metalhead,uncommon,Multicolor
Metallic Mimic,special,Colorless
Michelangelo's Technique,rare,G
"Michelangelo, Game Master",common,G
"Michelangelo, Improviser",mythic,G
"Michelangelo, Mutant BFF",uncommon,G
"Michelangelo, Weirdness to 11",rare,G
Mighty Mutanimals,uncommon,W
"Mikey & Don, Party Planners",rare,Multicolor
"Mikey & Leo, Chaos & Order",rare,Multicolor
Mind Transfer Protocol,common,U
"Mona Lisa, Science Geek",uncommon,G
Mondo Gecko,mythic,U
Mouser Attack!,common,R
Mouser Foundry,common,R
Mouser Mark III,common,Multicolor
"Mutagen Man, Living Ooze",rare,G
Mutant Chain Reaction,common,G
Mutant Town,common,Multicolor
Mutant Town Musicians,common,R
Negate,common,U
New Generation's Technique,uncommon,G
Ninja Teen,rare,B
Nobody,common,Multicolor
North Wind Avatar,mythic,Multicolor
Northampton Farm,rare,Colorless
Novel Nunchaku,uncommon,G
Null Group Biological Assets,common,R
"Old Hob, Alleycat Blues",uncommon,Multicolor
Omni-Cheese Pizza,common,Colorless
Ooze Spill,uncommon,U
"Oroku Saki, Shredder Rising",common,B
Pain 101,common,B
Paramecia Coloniex,uncommon,B
Party Dude,rare,G
Path to Exile,special,W
"Pizza Face, Gastromancer",uncommon,Multicolor
Plague of Vermin,special,B
Prehistoric Pet,rare,W
Primordial Pachyderm,common,G
Punk Frogs,common,Multicolor
Purple Dragon Punks,common,R
Putrid Pals,common,Multicolor
Quintessential Katana,uncommon,W
Ragamuffin Raptor,common,G
"Raph & Leo, Sibling Rivals",rare,Multicolor
"Raph & Mikey, Troublemakers",rare,Multicolor
Raphael's Technique,rare,R
"Raphael, Most Attitude",uncommon,R
"Raphael, Ninja Destroyer",mythic,R
"Raphael, Tough Turtle",common,R
"Raphael, the Nightwatcher",rare,R
"Rat King, Verminister",rare,B
Ravenous Robots,rare,R
"Ray Fillet, Man Ray",uncommon,U
"Renet, Temporal Apprentice",rare,U
Retro-Mutation,common,U
